Kategori	Alt Kategori	Ürün Grubu	Kategori Komisyon % (KDV Dahil)
Süpermarket	Ev Bakım ve Temizlik	Ev ve Temizlik Gereçleri	17.00%
Süpermarket	Gıda & İçecek	Filtre ve Çekirdek Kahve	17.00%
Süpermarket	Sağlık	Genel Sağlık	19.00%
Süpermarket	Sağlık	Gıda Takviyesi ve Vitamin	19.00%
Süpermarket	Anne Bakım	Göğüs Ucu Kremi, Vücut Kremleri, Göğüs Pedleri / Koruyucular	20.00%
Süpermarket	Gıda & İçecek	Granül Kahve	17.00%
Süpermarket	Gıda & İçecek	Gurme & Organik Ürünler	19.00%
Süpermarket	Sağlık	Hasta Bezi ve Temizlik	18.00%
Süpermarket	Gıda & İçecek	Hazır Noodle	19.00%
Süpermarket	Gıda & İçecek	Helva	19.00%
Süpermarket	Ev Bakım ve Temizlik	Islak Mendil	14.00%
Süpermarket	Ev Bakım ve Temizlik	Kağıt Havlu	16.00%
Süpermarket	Ev Bakım ve Temizlik	Kağıt Peçete, Mendil	16.00%
Süpermarket	Gıda & İçecek	Kapsül Kahve	17.00%
Süpermarket	Pet Shop	Kedi Konserve Maması	16.50%
Süpermarket	Pet Shop	Kedi Kumu	16.50%
Süpermarket	Pet Shop	Kedi Kuru Mama ve Köpek Kuru/Konserve Mamaları	16.50%
Süpermarket	Pet Shop	Kedi Vitamini	20.00%
Süpermarket	Gıda & İçecek	Krem Çikolata ve Ezme	17.00%
Süpermarket	Gıda & İçecek	Küvertür, Pul Çikolata	17.00%
Süpermarket	Sağlık	Medikal Maske	20.00%
Süpermarket	Gıda & İçecek	Özel Ezme	19.00%
Süpermarket	Ev Bakım ve Temizlik	Paspas ve Mop	17.00%
Süpermarket	Gıda & İçecek	Peynir	13.00%
Süpermarket	Gıda & İçecek	Polen ve Propolis	19.00%
Süpermarket	Gıda & İçecek	Sağlıklı Atıştırmalık	19.00%
Süpermarket	Gıda & İçecek	Sıvı Yağ	13.00%
Süpermarket	Sağlık	Sporcu Besini & Supplementler	19.00%
Süpermarket	Gıda & İçecek	Sürülebilir Çikolata	17.00%
Süpermarket	Gıda & İçecek	Tahin	19.00%
Süpermarket	Gıda & İçecek	Tatlı Sosu	19.00%
Süpermarket	Ev Bakım ve Temizlik	Temizlik Ürünleri	17.00%
Süpermarket	Gıda & İçecek	Ton Balığı	19.00%
Süpermarket	Gıda & İçecek	Türk Kahvesi	15.00%
Süpermarket	Ev Bakım ve Temizlik	Tuvalet Kağıdı	16.00%
Süpermarket	Ev Bakım ve Temizlik	Yüzey Temizlik Mendilleri	14.00%
Süpermarket	Gıda & İçecek	Zeytinyağı	15.00%
Süpermarket	Gıda & İçecek	Hurma	8.00%
Süpermarket	Gıda & İçecek	Ramazan & Kurban Paketleri	8.00%
