id	Ana Kategori	Kategori	Ürün Grubu	Komisyon % (KDV Dahil)
hb-altin-yatirim	Altın	Altın Yatırım		1.00%
hb-taki-mucevher	Aksesuar	Altın / Takı / Mücevher		18.00%
hb-saat-gozluk	Aksesuar	Saat/Gözlük		18.00%
hb-aksesuar-genel	Aksesuar	Aksesuar		18.00%
hb-valiz	Çanta	Valiz		18.00%
hb-canta	Çanta	Çanta		18.00%
hb-ayakkabi	Ayakkabı	Ayakkabı		19.49%
hb-giyim	Giyim	Giyim		18.00%
hb-bebek-giyim	Giyim	Bebek Giyim		18.00%
hb-parfum	Parfüm	Parfümler		17.00%
hb-outdoor-kamp	Outdoor- Deniz	Outdoor-Deniz Ekipmanları	Kamp / Deniz / Doğa	14.00%
hb-outdoor-balik	Outdoor- Deniz	Outdoor-Deniz Ekipmanları	Balık Av Malzemeleri	16.00%
hb-outdoor-tekne-gps	Outdoor- Deniz	Outdoor-Deniz Ekipmanları	Tekne Ürünleri / GPS / Teleskop / Dürbün	12.00%
hb-spor-giyim-ayakkabi	Spor & Outdoor	Giyim & Ayakkabı		18.00%
hb-spor-tekne-motor	Spor & Outdoor	Outdoor-Deniz Ekipmanları	Tekne / Motor / Balık Bulucu	8.47%
hb-spor-aletleri	Spor & Outdoor	Spor Aletleri		10.00%
hb-fitness-kondisyon	Spor & Outdoor	Fitness ve Kondisyon Ekipmanları		13.00%
hb-bisiklet-paten	Spor & Outdoor	Bisikletler ve Paten		10.00%
hb-spor-branslari	Spor Branşları	Spor Branşları		13.00%
hb-taraftar	Taraftar Ürünleri	Taraftar Ürünleri		18.00%
hb-cep-telefonu	Cep Telefonu	Cep Telefonu		8.00%
hb-cep-telefonu-ikinci-el	Cep Telefonu	Cep Telefonu	Yenilenmiş / İkinci El / Tuşlu	8.50%
hb-tablet	Bilgisayar	Tablet		7.00%
hb-tasinabilir-bilgisayar	Bilgisayar	Taşınabilir Bilgisayar		4.00%
hb-bilgisayar-ssd	Bilgisayar	Bilgisayar Bileşenleri & Çevre Birimleri	SSD	13.00%
