id	Üst Kategori	Alt Kategori 1	Alt Kategori 2	Ürün Grubu (Leaf)	Komisyon % (KDV Dahil)	Pazarlama Hizmet Bedeli %	Pazaryeri Hizmet Bedeli %	Hakediş Süresi (Gün)
n11-1	Ayakkabı & Çanta	Ayakkabı Bakım Ürünleri	Ayakkabı Boyası & Spreyi	Ayakkabı Boyası & Spreyi	19%	%1	%0.67	24
n11-2	Ayakkabı & Çanta	Ayakkabı Bakım Ürünleri	Ayakkabı Tamir Malzemeleri	Ayakkabı Tamir Malzemeleri	19%	%1	%0.67	24
n11-3	Ayakkabı & Çanta	Ayakkabı Bakım Ürünleri	Ayakkabı Bağcığı	Ayakkabı Bağcığı	19%	%1	%0.67	24
n11-4	Ayakkabı & Çanta	Ayakkabı Bakım Ürünleri	Ayakkabı Kalıbı	Ayakkabı Kalıbı	19%	%1	%0.67	24
n11-5	Ayakkabı & Çanta	Ayakkabı Bakım Ürünleri	Ayakkabı Çekeceği	Ayakkabı Çekeceği	19%	%1	%0.67	24
n11-6	Ayakkabı & Çanta	Ayakkabı Bakım Ürünleri	Ayakkabı & Terlik Aksesuar	Ayakkabı & Terlik Aksesuar	19%	%1	%0.67	24
n11-7	Ayakkabı & Çanta	Bavul & Valiz	Büyük Boy Valiz	Büyük Boy Valiz	18%	%1	%0.67	24
n11-8	Ayakkabı & Çanta	Bavul & Valiz	Kabin Boy Valiz	Kabin Boy Valiz	18%	%1	%0.67	24
n11-9	Ayakkabı & Çanta	Bavul & Valiz	Orta Boy Valiz	Orta Boy Valiz	18%	%1	%0.67	24
n11-10	Ayakkabı & Çanta	Bavul & Valiz	Seyahat Çantaları	Seyahat Çantaları	18%	%1	%0.67	24
n11-11	Ayakkabı & Çanta	Bavul & Valiz	Valiz Seti	Valiz Seti	18%	%1	%0.67	24
n11-12	Ayakkabı & Çanta	Bavul & Valiz	Çocuk Valizleri	Çocuk Valizleri	18%	%1	%0.67	24
n11-13	Ayakkabı & Çanta	Bavul & Valiz	Seyahat Kozmetik Çantaları	Seyahat Kozmetik Çantaları	18%	%1	%0.67	24
n11-14	Ayakkabı & Çanta	Bavul & Valiz	Valiz Kılıfı & Aksesuar	Valiz Kılıfı & Aksesuar	18%	%1	%0.67	24
n11-15	Ayakkabı & Çanta	Çocuk Ayakkabı	Erkek Çocuk Ayakkabı	Erkek Çocuk Bot & Çizme	18%	%1	%0.67	24
n11-16	Ayakkabı & Çanta	Çocuk Ayakkabı	Erkek Çocuk Ayakkabı	Erkek Çocuk Günlük Ayakkabı	18%	%1	%0.67	24
n11-17	Ayakkabı & Çanta	Çocuk Ayakkabı	Erkek Çocuk Ayakkabı	Erkek Çocuk Terlik	18%	%1	%0.67	24
n11-18	Ayakkabı & Çanta	Çocuk Ayakkabı	Erkek Çocuk Ayakkabı	Erkek Çocuk Sandalet	18%	%1	%0.67	24
n11-19	Ayakkabı & Çanta	Çocuk Ayakkabı	Erkek Çocuk Ayakkabı	Erkek Çocuk Ev Terliği & Panduf	18%	%1	%0.67	24
n11-20	Ayakkabı & Çanta	Çocuk Ayakkabı	Erkek Çocuk Ayakkabı	Erkek Çocuk Deniz Ayakkabısı	18%	%1	%0.67	24
n11-21	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Günlük Ayakkabı	18%	%1	%0.67	24
n11-22	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Terlik	18%	%1	%0.67	24
n11-23	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Bot & Çizme	18%	%1	%0.67	24
n11-24	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Ev Terliği & Panduf	18%	%1	%0.67	24
n11-25	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Deniz Ayakkabısı	18%	%1	%0.67	24
n11-26	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Sandalet	18%	%1	%0.67	24
n11-27	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Babet	18%	%1	%0.67	24
n11-28	Ayakkabı & Çanta	Çocuk Ayakkabı	Kız Çocuk Ayakkabı	Kız Çocuk Topuklu Ayakkabı	18%	%1	%0.67	24
n11-29	Ayakkabı & Çanta	Çocuk Çanta	Kız Çocuk Çantası	Kız Çocuk El & Sırt Çantası	18%	%1	%0.67	24
n11-30	Ayakkabı & Çanta	Çocuk Çanta	Kız Çocuk Çantası	Kız Çocuk Bel Çantası	18%	%1	%0.67	24
n11-31	Ayakkabı & Çanta	Çocuk Çanta	Kız Çocuk Çantası	Kız Çocuk Cüzdan	18%	%1	%0.67	24
n11-32	Ayakkabı & Çanta	Çocuk Çanta	Erkek Çocuk Çantası	Erkek Çocuk El & Sırt Çantası	18%	%1	%0.67	24
n11-33	Ayakkabı & Çanta	Çocuk Çanta	Erkek Çocuk Çantası	Erkek Çocuk Bel Çantası	18%	%1	%0.67	24
n11-34	Ayakkabı & Çanta	Çocuk Çanta	Erkek Çocuk Çantası	Erkek Çocuk Cüzdan	18%	%1	%0.67	24
n11-35	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Casual Ayakkabı	18%	%1	%0.67	24
n11-36	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Klasik Ayakkabı	18%	%1	%0.67	24
n11-37	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Sneaker	18%	%1	%0.67	24
n11-38	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Espadril Ayakkabı	18%	%1	%0.67	24
n11-39	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Makosen Ayakkabı	18%	%1	%0.67	24
n11-40	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Loafer Ayakkabı	18%	%1	%0.67	24
n11-41	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Günlük Ayakkabı	Erkek Oxford Ayakkabı	18%	%1	%0.67	24
n11-42	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Terlik & Sandalet	Erkek Terlik	18%	%1	%0.67	24
n11-43	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Terlik & Sandalet	Erkek Sandalet	18%	%1	%0.67	24
n11-44	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Terlik & Sandalet	Erkek Plaj Terliği	18%	%1	%0.67	24
n11-45	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Terlik & Sandalet	Erkek Deniz Ayakkabısı	18%	%1	%0.67	24
n11-46	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Ev Terliği & Panduf	Erkek Ev Terliği	18%	%1	%0.67	24
n11-47	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Ev Terliği & Panduf	Erkek Panduf & Ev Botu	18%	%1	%0.67	24
n11-48	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Bot & Çizme	Erkek Bot	18%	%1	%0.67	24
n11-49	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Bot & Çizme	Erkek Çizme	18%	%1	%0.67	24
n11-50	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Bot & Çizme	Erkek Kar Botu	18%	%1	%0.67	24
n11-51	Ayakkabı & Çanta	Erkek Ayakkabı	Erkek Bot & Çizme	Erkek Yağmur Çizmesi	18%	%1	%0.67	24
n11-52	Ayakkabı & Çanta	Erkek Çanta	Erkek Cüzdan & Kartlık	Erkek Cüzdan & Kartlık	18%	%1	%0.67	24
n11-53	Ayakkabı & Çanta	Erkek Çanta	Erkek El Çantası & Portföy	Erkek El Çantası & Portföy	18%	%1	%0.67	24
n11-54	Ayakkabı & Çanta	Erkek Çanta	Erkek Evrak Çantası	Erkek Evrak Çantası	18%	%1	%0.67	24
n11-55	Ayakkabı & Çanta	Erkek Çanta	Erkek Postacı Çanta	Erkek Postacı Çanta	18%	%1	%0.67	24
n11-56	Ayakkabı & Çanta	Erkek Çanta	Erkek Sırt Çantası	Erkek Sırt Çantası	18%	%1	%0.67	24
n11-57	Ayakkabı & Çanta	Erkek Çanta	Erkek Bel Çantası	Erkek Bel Çantası	18%	%1	%0.67	24
n11-58	Ayakkabı & Çanta	Erkek Çanta	Erkek Çanta Aksesuarı	Erkek Çanta Aksesuarı	18%	%1	%0.67	24
n11-59	Ayakkabı & Çanta	Kadın Ayakkabı	Kadın Bot & Çizme	Kadın Bot	18%	%1	%0.67	24
n11-60	Ayakkabı & Çanta	Kadın Ayakkabı	Kadın Bot & Çizme	Kadın Kar Botu	18%	%1	%0.67	24
n11-61	Ayakkabı & Çanta	Kadın Ayakkabı	Kadın Bot & Çizme	Kadın Çizme	18%	%1	%0.67	24
n11-62	Ayakkabı & Çanta	Kadın Ayakkabı	Kadın Bot & Çizme	Kadın Yağmur Çizmesi	18%	%1	%0.67	24
n11-63	Ayakkabı & Çanta	Kadın Ayakkabı	Topuklu Ayakkabı	Dolgu Topuklu Ayakkabı	18%	%1	%0.67	24
n11-64	Ayakkabı & Çanta	Kadın Ayakkabı	Topuklu Ayakkabı	Klasik Topuklu Ayakkabı	18%	%1	%0.67	24
n11-65	Ayakkabı & Çanta	Kadın Ayakkabı	Topuklu Ayakkabı	Platform Topuklu Ayakkabı	18%	%1	%0.67	24
n11-66	Ayakkabı & Çanta	Kadın Ayakkabı	Topuklu Ayakkabı	Stiletto	18%	%1	%0.67	24
n11-67	Ayakkabı & Çanta	Kadın Ayakkabı	Topuklu Ayakkabı	Gelin Ayakkabısı	18%	%1	%0.67	24
n11-68	Ayakkabı & Çanta	Kadın Ayakkabı	Topuklu Ayakkabı	Abiye Ayakkabısı	18%	%1	%0.67	24
n11-69	Ayakkabı & Çanta	Kadın Ayakkabı	Kadın Günlük Ayakkabı	Kadın Casual Ayakkabı	18%	%1	%0.67	24
n11-70	Ayakkabı & Çanta	Kadın Ayakkabı	Kadın Günlük Ayakkabı	Kadın Sneaker	18%	%1	%0.67	24
n11-71	Ayakkabı & Çanta	Kadın Ayakkabı	Kadın Günlük Ayakkabı	Kadın Babet	18%	%1	%0.67	24
n11-72	Ayakkabı & Çanta	Kadın Ayakkabı	Kadın Günlük Ayakkabı	Kadın Espadril Ayakkabı	18%	%1	%0.67	24
n11-73	Ayakkabı & Çanta	Kadın Ayakkabı	Kadın Günlük Ayakkabı	Kadın Loafer Ayakkabı	18%	%1	%0.67	24
n11-74	Ayakkabı & Çanta	Kadın Ayakkabı	Kadın Günlük Ayakkabı	Kadın Oxford Ayakkabı	18%	%1	%0.67	24
n11-75	Ayakkabı & Çanta	Kadın Ayakkabı	Terlik & Sandalet	Kadın Terlik	18%	%1	%0.67	24
n11-76	Ayakkabı & Çanta	Kadın Ayakkabı	Terlik & Sandalet	Kadın Sandalet	18%	%1	%0.67	24
n11-77	Ayakkabı & Çanta	Kadın Ayakkabı	Terlik & Sandalet	Kadın Plaj Terliği	18%	%1	%0.67	24
n11-78	Ayakkabı & Çanta	Kadın Ayakkabı	Terlik & Sandalet	Kadın Deniz Ayakkabısı	18%	%1	%0.67	24
n11-79	Ayakkabı & Çanta	Kadın Ayakkabı	Ev Terliği & Panduf	Kadın Ev Terliği	18%	%1	%0.67	24
n11-80	Ayakkabı & Çanta	Kadın Ayakkabı	Ev Terliği & Panduf	Kadın Panduf & Ev Botu	18%	%1	%0.67	24
n11-81	Ayakkabı & Çanta	Kadın Ayakkabı	Ev Terliği & Panduf	Kadın Patik	18%	%1	%0.67	24
n11-82	Ayakkabı & Çanta	Kadın Çanta	Kadın Abiye Çanta	Kadın Abiye Çanta	18%	%1	%0.67	24
n11-83	Ayakkabı & Çanta	Kadın Çanta	Kadın Cüzdan & Kartlık	Kadın Cüzdan & Kartlık	18%	%1	%0.67	24
n11-84	Ayakkabı & Çanta	Kadın Çanta	Kadın Çanta Aksesuarı	Kadın Çanta Aksesuarı	18%	%1	%0.67	24
n11-85	Ayakkabı & Çanta	Kadın Çanta	Kadın El Çantası	Kadın El Çantası	18%	%1	%0.67	24
n11-86	Ayakkabı & Çanta	Kadın Çanta	Kadın Omuz Çantası	Kadın Omuz Çantası	18%	%1	%0.67	24
n11-87	Ayakkabı & Çanta	Kadın Çanta	Kadın Postacı Çantası	Kadın Postacı Çantası	18%	%1	%0.67	24
n11-88	Ayakkabı & Çanta	Kadın Çanta	Kadın Sırt Çantası	Kadın Sırt Çantası	18%	%1	%0.67	24
n11-89	Ayakkabı & Çanta	Kadın Çanta	Kadın Evrak Çantası	Kadın Evrak Çantası	18%	%1	%0.67	24
n11-90	Ayakkabı & Çanta	Kadın Çanta	Kadın Bel Çantası	Kadın Bel Çantası	18%	%1	%0.67	24
n11-91	Ayakkabı & Çanta	Kadın Çanta	Kadın Plaj Çantası	Kadın Plaj Çantası	18%	%1	%0.67	24
n11-92	Ayakkabı & Çanta	Kadın Çanta	Bez & Alışveriş Çantası	Bez & Alışveriş Çantası	18%	%1	%0.67	24
n11-93	Ayakkabı & Çanta	Kadın Çanta	Kadın Portföy & Clucth Çanta	Kadın Portföy & Clucth Çanta	18%	%1	%0.67	24
n11-94	Çocuk Giyim & Aksesuar	Aksesuar	Çocuk Atkı & Eldiven	Çocuk Atkı & Eldiven	20.34%	%1	%0.67	24
n11-95	Çocuk Giyim & Aksesuar	Aksesuar	Kemer & Pantolon Askısı	Kemer & Pantolon Askısı	20%	%1	%0.67	24
n11-96	Çocuk Giyim & Aksesuar	Aksesuar	Kravat, Papyon, Mendil	Kravat, Papyon, Mendil	20.34%	%1	%0.67	24
n11-97	Çocuk Giyim & Aksesuar	Aksesuar	Çocuk Şapka, Bere, Kulaklık	Çocuk Şapka, Bere, Kulaklık	20.34%	%1	%0.67	24
n11-98	Çocuk Giyim & Aksesuar	Aksesuar	Çocuk Şemsiye	Çocuk Şemsiye	20.34%	%1	%0.67	24
n11-99	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Ceket & Yelek	Erkek Çocuk Ceket & Yelek	20.34%	%1	%0.67	24
n11-100	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Eşofman & Sweatshirt	Erkek Çocuk Eşofman & Sweatshirt	20.34%	%1	%0.67	24
n11-101	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Gömlek	Erkek Çocuk Gömlek	20.34%	%1	%0.67	24
n11-102	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Kazak, Hırka, Yelek	Erkek Çocuk Kazak, Hırka, Yelek	20.34%	%1	%0.67	24
n11-103	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Kostüm	Erkek Çocuk Kostüm	20.34%	%1	%0.67	24
n11-104	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Kot	Erkek Çocuk Kot	20.34%	%1	%0.67	24
n11-105	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Mayo	Erkek Çocuk Mayo	20.34%	%1	%0.67	24
n11-106	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Mont, Kaban, Trençkot	Erkek Çocuk Mont, Kaban, Trençkot	20.34%	%1	%0.67	24
n11-107	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Pantolon	Erkek Çocuk Pantolon	20.34%	%1	%0.67	24
n11-108	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Tişört	Erkek Çocuk Tişört	20.34%	%1	%0.67	24
n11-109	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Takım Elbise	Erkek Çocuk Takım Elbise	20.34%	%1	%0.67	24
n11-110	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Tulum & Salopet	Erkek Çocuk Tulum & Salopet	20.34%	%1	%0.67	24
n11-111	Çocuk Giyim & Aksesuar	Erkek Çocuk	İç Giyim & Uyku Giyim	Erkek Çocuk Boxer, Külot, Slip	20.34%	%1	%0.67	24
n11-112	Çocuk Giyim & Aksesuar	Erkek Çocuk	İç Giyim & Uyku Giyim	Erkek Çocuk Pijama	20.34%	%1	%0.67	24
n11-113	Çocuk Giyim & Aksesuar	Erkek Çocuk	İç Giyim & Uyku Giyim	Erkek Çocuk Fanila & Atlet	20.34%	%1	%0.67	24
n11-114	Çocuk Giyim & Aksesuar	Erkek Çocuk	İç Giyim & Uyku Giyim	Erkek Çocuk Çorap	20.34%	%1	%0.67	24
n11-115	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Şort	Erkek Çocuk Şort	20.34%	%1	%0.67	24
n11-116	Çocuk Giyim & Aksesuar	Erkek Çocuk	Sünnet	Sünnet	20.34%	%1	%0.67	24
n11-117	Çocuk Giyim & Aksesuar	Erkek Çocuk	Erkek Çocuk Alt & Üst Takım	Erkek Çocuk Alt & Üst Takım	20.34%	%1	%0.67	24
n11-118	Çocuk Giyim & Aksesuar	Kız Çocuk	Ceket & Yelek & Bolero	Ceket & Yelek & Bolero	20.34%	%1	%0.67	24
n11-119	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Elbise & Jile	Kız Çocuk Elbise & Jile	20.34%	%1	%0.67	24
n11-120	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Etek	Kız Çocuk Etek	20.34%	%1	%0.67	24
n11-121	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Eşofman & Sweatshirt	Kız Çocuk Eşofman & Sweatshirt	20.34%	%1	%0.67	24
n11-122	Çocuk Giyim & Aksesuar	Kız Çocuk	Gömlek & Bluz	Gömlek & Bluz	20.34%	%1	%0.67	24
n11-123	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Kazak & Hırka	Kız Çocuk Kazak & Hırka	20.34%	%1	%0.67	24
n11-124	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Kostüm	Kız Çocuk Kostüm	20.34%	%1	%0.67	24
n11-125	Çocuk Giyim & Aksesuar	Kız Çocuk	Kot	Kot	20.34%	%1	%0.67	24
n11-126	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Mayo, Bikini, Pareo	Kız Çocuk Mayo, Bikini, Pareo	20.34%	%1	%0.67	24
n11-127	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Mont, Kaban, Trençkot	Kız Çocuk Mont, Kaban, Trençkot	20.34%	%1	%0.67	24
n11-128	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Pantolon	Kız Çocuk Pantolon	20.34%	%1	%0.67	24
n11-129	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Tişört	Kız Çocuk Tişört	20.34%	%1	%0.67	24
n11-130	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Tayt	Kız Çocuk Tayt	20.34%	%1	%0.67	24
n11-131	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Tulum & Salopet	Kız Çocuk Tulum & Salopet	20.34%	%1	%0.67	24
n11-132	Çocuk Giyim & Aksesuar	Kız Çocuk	İç Giyim & Uyku Giyim	İç Çamaşırı	20.34%	%1	%0.67	24
n11-133	Çocuk Giyim & Aksesuar	Kız Çocuk	İç Giyim & Uyku Giyim	Çorap	20.34%	%1	%0.67	24
n11-134	Çocuk Giyim & Aksesuar	Kız Çocuk	İç Giyim & Uyku Giyim	Kız Çocuk Pijama & Gecelik	20.34%	%1	%0.67	24
n11-135	Çocuk Giyim & Aksesuar	Kız Çocuk	İç Giyim & Uyku Giyim	Alt & Üst Takım	20.34%	%1	%0.67	24
n11-136	Çocuk Giyim & Aksesuar	Kız Çocuk	İç Giyim & Uyku Giyim	Kız Çocuk Body & Atlet	20.34%	%1	%0.67	24
n11-137	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Şort	Kız Çocuk Şort	20.34%	%1	%0.67	24
n11-138	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Abiye	Kız Çocuk Abiye	20.34%	%1	%0.67	24
n11-139	Çocuk Giyim & Aksesuar	Kız Çocuk	Kız Çocuk Alt & Üst Takım	Kız Çocuk Alt & Üst Takım	20.34%	%1	%0.67	24
n11-140	Erkek Giyim & Aksesuar	Dış Giyim	Erkek Deri Mont	Erkek Deri Mont	20.34%	%1	%0.67	24
n11-141	Erkek Giyim & Aksesuar	Dış Giyim	Erkek Mont & Kaban & Palto	Erkek Mont & Kaban & Palto	20.34%	%1	%0.67	24
n11-142	Erkek Giyim & Aksesuar	Dış Giyim	Erkek Yağmurluk & Rüzgarlık	Erkek Yağmurluk & Rüzgarlık	20.34%	%1	%0.67	24
n11-143	Erkek Giyim & Aksesuar	Dış Giyim	Erkek Yelek	Erkek Yelek	20.34%	%1	%0.67	24
n11-144	Erkek Giyim & Aksesuar	Dış Giyim	Erkek Ceket	Erkek Ceket	20.34%	%1	%0.67	24
n11-145	Erkek Giyim & Aksesuar	Dış Giyim	Erkek Pardesü & Trençkot	Erkek Pardesü & Trençkot	20.34%	%1	%0.67	24
n11-146	Erkek Giyim & Aksesuar	Erkek Aksesuar	Erkek Şal & Fular	Erkek Şal & Fular	20.34%	%1	%0.67	24
n11-147	Erkek Giyim & Aksesuar	Erkek Aksesuar	Kravat, Papyon, Mendil	Kravat, Papyon, Mendil	20.34%	%1	%0.67	24
n11-148	Erkek Giyim & Aksesuar	Erkek Aksesuar	Erkek Çorap	Erkek Çorap	20.34%	%1	%0.67	24
n11-149	Erkek Giyim & Aksesuar	Erkek Aksesuar	Erkek Şemsiye	Erkek Şemsiye	20.34%	%1	%0.67	24
n11-150	Erkek Giyim & Aksesuar	Erkek Aksesuar	Erkek Kemer & Pantolon Askısı	Erkek Kemer	20%	%1	%0.67	24
n11-151	Erkek Giyim & Aksesuar	Erkek Aksesuar	Erkek Kemer & Pantolon Askısı	Pantolon Askısı	20%	%1	%0.67	24
n11-152	Erkek Giyim & Aksesuar	Erkek Aksesuar	Erkek Şapka & Bere & Eldiven	Erkek Şapka & Kasket	20.34%	%1	%0.67	24
n11-153	Erkek Giyim & Aksesuar	Erkek Aksesuar	Erkek Şapka & Bere & Eldiven	Erkek Bere	20.34%	%1	%0.67	24
n11-154	Erkek Giyim & Aksesuar	Erkek Aksesuar	Erkek Şapka & Bere & Eldiven	Erkek Eldiven	20.34%	%1	%0.67	24
n11-155	Erkek Giyim & Aksesuar	Erkek Aksesuar	Erkek Şapka & Bere & Eldiven	Erkek Atkı	20.34%	%1	%0.67	24
n11-156	Erkek Giyim & Aksesuar	Erkek Aksesuar	Erkek Şapka & Bere & Eldiven	Erkek Boyunluk	20.34%	%1	%0.67	24
n11-157	Erkek Giyim & Aksesuar	Erkek Aksesuar	Erkek Şapka & Bere & Eldiven	Erkek Atkı Bere Eldiven Takımı	20.34%	%1	%0.67	24
n11-158	Erkek Giyim & Aksesuar	Erkek Aksesuar	Arma Yama	Arma Yama	20.34%	%1	%0.67	24
n11-159	Erkek Giyim & Aksesuar	Erkek Büyük Beden	Erkek Büyük Beden Ceket & Deri Ceket	Erkek Büyük Beden Ceket & Deri Ceket	20.34%	%1	%0.67	24
n11-160	Erkek Giyim & Aksesuar	Erkek Büyük Beden	Erkek Büyük Beden Eşofman & Sweatshirt	Erkek Büyük Beden Eşofman & Sweatshirt	20.34%	%1	%0.67	24
n11-161	Erkek Giyim & Aksesuar	Erkek Büyük Beden	Erkek Büyük Beden Gömlek	Erkek Büyük Beden Gömlek	20.34%	%1	%0.67	24
n11-162	Erkek Giyim & Aksesuar	Erkek Büyük Beden	Erkek Büyük Beden Mont & Kaban	Erkek Büyük Beden Mont & Kaban	20.34%	%1	%0.67	24
n11-163	Erkek Giyim & Aksesuar	Erkek Büyük Beden	Erkek Büyük Beden Pantolon & Şort	Erkek Büyük Beden Pantolon & Şort	20.34%	%1	%0.67	24
n11-164	Erkek Giyim & Aksesuar	Erkek Büyük Beden	Erkek Büyük Beden Tişört	Erkek Büyük Beden Tişört	20.34%	%1	%0.67	24
n11-165	Erkek Giyim & Aksesuar	Erkek Büyük Beden	Erkek Büyük Beden Takım Elbise	Erkek Büyük Beden Takım Elbise	20.34%	%1	%0.67	24
n11-166	Erkek Giyim & Aksesuar	Erkek Büyük Beden	Erkek Büyük Beden Kazak	Erkek Büyük Beden Kazak	20.34%	%1	%0.67	24
n11-167	Erkek Giyim & Aksesuar	Erkek Büyük Beden	Erkek Büyük Beden Pijama	Erkek Büyük Beden Pijama	20.34%	%1	%0.67	24
n11-168	Erkek Giyim & Aksesuar	Erkek Büyük Beden	Erkek Büyük Beden Yelek	Erkek Büyük Beden Yelek	20.34%	%1	%0.67	24
n11-169	Erkek Giyim & Aksesuar	Erkek Büyük Beden	Erkek Büyük Beden Hırka	Erkek Büyük Beden Hırka	20.34%	%1	%0.67	24
n11-170	Erkek Giyim & Aksesuar	Erkek Büyük Beden	Erkek Büyük Beden Mayo	Erkek Büyük Beden Mayo	20.34%	%1	%0.67	24
n11-171	Erkek Giyim & Aksesuar	Erkek Mayo & Deniz Şortu	Slip Mayo	Slip Mayo	20.34%	%1	%0.67	24
n11-172	Erkek Giyim & Aksesuar	Erkek Mayo & Deniz Şortu	Deniz Şortu	Deniz Şortu	20.34%	%1	%0.67	24
n11-173	Erkek Giyim & Aksesuar	Erkek Tişört & Polo Yaka Tişört	Erkek Tişört & Polo Yaka Tişört	Erkek Tişört & Polo Yaka Tişört	20.34%	%1	%0.67	24
n11-174	Erkek Giyim & Aksesuar	Eşofman & Sweatshirt	Erkek Eşofman Altı	Erkek Eşofman Altı	20.34%	%1	%0.67	24
n11-175	Erkek Giyim & Aksesuar	Eşofman & Sweatshirt	Erkek Eşofman Takımı	Erkek Eşofman Takımı	20.34%	%1	%0.67	24
n11-176	Erkek Giyim & Aksesuar	Eşofman & Sweatshirt	Erkek Sweatshirt	Erkek Sweatshirt	20.34%	%1	%0.67	24
n11-177	Erkek Giyim & Aksesuar	Eşofman & Sweatshirt	Erkek Polar	Erkek Polar	20.34%	%1	%0.67	24
n11-178	Erkek Giyim & Aksesuar	Gömlek	Gömlek	Gömlek	20.34%	%1	%0.67	24
n11-179	Erkek Giyim & Aksesuar	İç Giyim	Erkek Atlet & Fanila & Body	Erkek Atlet & Fanila & Body	20.34%	%1	%0.67	24
n11-180	Erkek Giyim & Aksesuar	İç Giyim	Erkek Boxer	Erkek Boxer	20.34%	%1	%0.67	24
n11-181	Erkek Giyim & Aksesuar	İç Giyim	Erkek Korse	Erkek Korse	20.34%	%1	%0.67	24
n11-182	Erkek Giyim & Aksesuar	İç Giyim	Erkek İçlik & Termal İç Giyim	Erkek İçlik & Termal İç Giyim	20.34%	%1	%0.67	24
n11-183	Erkek Giyim & Aksesuar	İç Giyim	Erkek Fantezi Giyim	Erkek Fantezi Aksesuar	20.34%	%1	%0.67	24
n11-184	Erkek Giyim & Aksesuar	İç Giyim	Erkek Fantezi Giyim	Erkek Fantezi String	20.34%	%1	%0.67	24
n11-185	Erkek Giyim & Aksesuar	İç Giyim	Erkek Fantezi Giyim	Erkek Fantezi Slip	20.34%	%1	%0.67	24
n11-186	Erkek Giyim & Aksesuar	İç Giyim	Erkek Fantezi Giyim	Erkek Fantezi Külot	20.34%	%1	%0.67	24
n11-187	Erkek Giyim & Aksesuar	İç Giyim	Erkek Fantezi Giyim	Fantezi Boxer	20.34%	%1	%0.67	24
